plocha_m2,skola_m,park_m,mhd_m,lekarna_m,supermarket_m,dispozice_skore,velke_mesto,mhd_dostupnost,cenove_pasmo,mesto_Brno,mesto_Olomouc,mesto_Ostrava,mesto_Plzeň,mesto_Praha,mesto_Praha 1,mesto_Praha 10,mesto_Praha 2,mesto_Praha 3,mesto_Praha 4,mesto_Praha 5,mesto_Praha 6,mesto_Praha 7,mesto_Praha 8,mesto_Praha 9,mesto_ostatni
0.05864197530864197,0.04542356572986409,0.13407003329188563,0.057777350509517406,0.0658876728225855,0.019520390407808157,0.33333333333333337,1.0,0.12112112112112113,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.05246913580246913,0.09184941667000761,0.057578917813164335,0.10459527014035765,0.02310970607655215,0.002120042400848017,0.0,1.0,0.21821821821821824,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.16975308641975306,0.03630277031632121,0.12305964461914885,0.0347048644491444,0.06274635346845676,0.041500830016600335,0.33333333333333337,1.0,0.07307307307307308,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.2160493827160494,0.1693060177204025,0.12273875897477037,0.07118823303210922,0.010304327817683428,0.027480549610992222,0.33333333333333337,1.0,0.14814814814814814,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.2222222222222222,0.02818426011305777,0.034816092415065586,0.07315900788309941,0.019608235458892734,0.028080561611232225,0.6666666666666666,1.0,0.15315315315315317,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.14814814814814814,0.11859038608026298,0.11409490192932496,0.02754278023457028,0.10670481602272955,0.08268165363307266,0.33333333333333337,0.0,0.05805805805805806,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.07716049382716049,0.04383995509762258,0.05294613132244997,0.06806383387810037,0.5137757858300487,0.011760235204704095,0.0,0.0,0.14214214214214213,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.2623456790123457,0.03814697510323537,0.10502988247563276,0.0351374735627764,0.042898017167210235,0.0048600972019440395,0.6666666666666666,1.0,0.07307307307307308,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.07407407407407407,0.1089283566531692,0.012815370422365732,0.09502980196116133,0.0815542527861702,0.14476289525790517,0.0,0.0,0.19819819819819823,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.16666666666666669,0.37734033596600247,0.08874493602342466,0.1570371082484138,0.14832229536405292,0.04730094601892038,0.33333333333333337,1.0,0.3273273273273274,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.12654320987654322,0.13394539550174397,0.015984116160603266,0.10113439723130169,0.04942075671782149,0.01380027600552011,0.33333333333333337,1.0,0.21121121121121122,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.07407407407407407,0.0680150743695626,0.16136536841683047,0.037060180734474146,0.15500510214290003,0.00870017400348007,0.0,1.0,0.07707707707707707,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.12037037037037036,0.18255622820029666,0.14135012634872252,0.11425687367813883,0.0803137317673423,0.060941218824376496,0.33333333333333337,1.0,0.23823823823823825,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1450617283950617,0.07222467225273622,0.10282379367053067,0.013603153239761587,0.0411172692530863,0.038140762815256316,0.33333333333333337,0.0,0.02902902902902903,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.2839506172839506,0.25724652207032034,0.05220408326982472,0.12699480869063645,0.10810540426979331,0.05940118802376049,0.6666666666666666,0.0,0.26526526526526534,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.38271604938271603,0.6704486228601211,0.3602141911676227,0.11324745241299752,0.12361191700514217,0.11748234964699295,0.6666666666666666,1.0,0.23623623623623624,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.15123456790123457,0.043118309746221384,0.08876499137619831,0.06801576619880793,0.22987654815022313,0.032080641612832264,0.33333333333333337,0.0,0.14214214214214213,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.04938271604938271,0.09898568736719719,0.021519393526132125,0.14723130167275528,0.2695932291562457,0.08928178563571272,0.0,0.0,0.3073073073073074,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.12037037037037036,0.16210960991059614,0.5408527535999359,0.014852912901365124,0.02332979851537646,0.012680253605072103,0.33333333333333337,0.0,0.031031031031031036,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.12654320987654322,0.11484183939381788,0.04233684970518632,0.007354354931743896,0.06480721903199345,0.006720134402688055,0.33333333333333337,1.0,0.016016016016016016,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.05864197530864197,0.060858757968167414,0.08180578396373993,0.0027398577196692947,0.11600872366393886,0.010080201604032082,0.0,0.0,0.006006006006006007,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.13580246913580246,0.03393737722006174,0.08060246279732061,0.024370313401268988,0.10072230336741432,0.07076141522830456,0.33333333333333337,0.0,0.05105105105105105,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.12962962962962965,0.029767870745299282,0.03120612891580763,0.06484329936550663,0.04882050461193702,0.03480069601392028,0.33333333333333337,1.0,0.13513513513513514,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
