id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,photo_url,photo_path,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
sr_2356761420,Pronájem bytu 3+kk 80 m²,31400,"Masarykova, Brno - Brno-město",49.192562,16.610332,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nPVpfd5QLLDoMo7MQeF7SZmE/cc46.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,298.7,553.6,34.3,146.9,58.5
sr_2210689868,Pronájem bytu 2+kk 47 m²,18990,"Nad přehradou, Praha 10 - Horní Měcholupy",50.043385,14.553018,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_B/kY1K2LlXQDnuVLU2FvAPsK/451b.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2210689868.jpg,739.5,398.1,154.6,482.9,136.6
sr_2299351884,Pronájem bytu 2+kk 57 m²,20000,"Kardausova, Praha 10 - Dolní Měcholupy",50.066345,14.554249,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5DwDWzCo1GAUxoE/fd35.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,2850.2,946.1,87.1,555.1,382.7
sr_2600559436,Pronájem bytu 1+kk 32 m²,13500,"Štanderova, Praha 9 - Letňany",50.141705,14.521503,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/nPVpfd5QLLksKHFz6F2kDJ2/eda6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,1513.9,560.1,94.7,731.2,60.0
sr_3822932812,Pronájem bytu 1+1 42 m²,20000,"Biskupská, Brno - Brno-město",49.191704,16.606457,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5CNPfpDXIGApM0c/cd45.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3822932812.jpg,164.6,316.8,79.9,157.8,87.1
sr_234120012,Pronájem bytu 1+kk 37 m²,14000,"Spálená, Brno - Trnitá",49.190117,16.615553,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nPVpfd5QLLDhCZlIXTF59N7p/1b5e.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_234120012.jpg,356.0,908.0,66.9,251.0,12.6
sr_2299220812,Pronájem bytu 1+kk 67 m²,13600,"Lešetín I, Zlín",49.228123,17.672979,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nPVpfd5QLLChvUCJJJF6maYE/b572.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2299220812.jpg,558.5,1139.5,101.5,282.0,233.2
sr_247030604,Pronájem bytu 2+1 90 m²,33000,"Kolínská, Praha 3 - Vinohrady",50.077301,14.455476,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_B/nPVpfd5QLLbHLYBY2Fw1U5H/a00c.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,120.5,308.4,134.9,284.6,76.8
sr_2871677772,Pronájem bytu 2+kk 61 m²,22000,"Za Zámečkem, Praha 5 - Jinonice",50.054222,14.353956,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nPVpfd5QLLD53UiJFMF7HbGk/b379.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2871677772.jpg,602.7,430.0,327.3,418.8,571.9
sr_994595660,Pronájem bytu 2+1 50 m²,13500,"Ostrava - Poruba, okres Ostrava-město",49.846218,18.159935,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kcHp2YdDtDrxR2lRF8YHjd/5fdc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,928.2,276.0,260.5,358.1,105.8
sr_2588148556,Pronájem bytu 3+1 84 m²,15000,"Ostrava - Hrabůvka, okres Ostrava-město",49.787441,18.252621,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5CFdAHBIEF8rvgH/c9fe.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,133.5,598.8,249.6,313.0,324.8
sr_1391538764,Pronájem bytu 3+kk 100 m² (Mezonet),34000,"Ondříčkova, Praha",50.080555,14.452493,,sreality,"https://d18-a.sdn.cz/d_18/c_img_oV_A/nPt0vAiT3tCObjyTxCAPdso/60e5.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1391538764.jpg,465.1,310.5,316.7,347.6,95.3
sr_1354593100,Pronájem bytu 1+1 30 m²,14500,"Brno - Černá Pole, okres Brno-město",49.211632,16.62558,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5bIUBBRYF84xZI/7ca9.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,239.4,151.5,70.0,342.3,79.7
sr_965505868,Pronájem bytu 1+kk 28 m²,13000,"Žitná, Brno - Řečkovice",49.240032,16.587084,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5CGpNZBU8F84xB7/411e.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,749.1,320.7,88.0,291.0,267.6
sr_2727461708,Pronájem bytu 3+1 76 m²,12900,"Lechowiczova, Ostrava - Moravská Ostrava",49.840984,18.264389,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_B/nPVpfd5QLLD53UieFFvn3hX/3410.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2727461708.jpg,446.6,756.1,186.2,51.6,115.3
sr_2869576524,Pronájem bytu 1+kk 32 m² (Jednopodlažní),13900,"Ostravská, Frýdek-Místek - Místek",49.675591,18.339718,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_C/kcHp2YdDtDgLT0E3zGGgY2z/c8a3.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2869576524.jpg,210.5,347.1,27.4,186.8,90.4
sr_3714597708,Pronájem bytu 1+kk 31 m² (Jednopodlažní),10600,"Olomoucká, Opava",49.933041,17.87888,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_C/kcHp2YdDtCJexHFfAGHM0eF/8db4.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3714597708.jpg,1952.9,1678.8,93.1,249.9,379.1
sr_403981132,Pronájem bytu 2+kk 37 m² (Jednopodlažní),8000,"Husova, Duchcov",50.602268,13.751593,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5bIUBT7aGPRcS7/394c.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_403981132.jpg,342.3,5380.8,269.1,491.5,1445.5
sr_3088335692,Pronájem bytu 2+kk 52 m²,20000,"Průběžná, Hradec Králové - Nový Hradec Králové",50.195774,15.856699,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CGpNZUPxGP1pFR/865d.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3088335692.jpg,921.5,300.7,186.2,536.3,370.3
sr_3026063948,Pronájem bytu 2+kk 37 m² (Jednopodlažní),19860,"U Pergamenky, Praha 7 - Holešovice",50.108143,14.451658,,sreality,"https://d18-a.sdn.cz/d_18/c_img_oW_B/kObgaqJNMnKEQFpQCToivE/0def.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3026063948.jpg,152.5,454.3,148.8,376.5,166.6
sr_1327842124,Pronájem bytu 1+1 36 m²,10500,"Česká, Mariánské Lázně - Úšovice",49.95211,12.712657,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlWDMGQAlUY/d290.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1327842124.jpg,3772.8,244.7,219.8,262.8,236.5
sr_2498511692,Pronájem bytu 1+kk 32 m²,18000,"Poděbradská, Praha 9 - Vysočany",50.10207,14.507342,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtCDcb5IkWGKJlN3/f9f2.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2498511692.jpg,504.4,671.4,66.0,884.7,296.4
sr_2467128140,Pronájem bytu 2+1 74 m²,24990,"Kotlářská, Brno - Veveří",49.206562,16.5996,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtDrxR2MJhGMeo76/8eab.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2467128140.jpg,171.9,153.5,136.6,235.2,47.6
sr_236208972,Pronájem bytu 1+kk 25 m²,17000,"Karáskovo náměstí, Brno - Židenice",49.197445,16.640635,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtCJexHQ8IGPRF9A/a9ca.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_236208972.jpg,463.1,58.8,136.4,369.5,129.5
sr_2489795404,Pronájem bytu 2+kk 56 m²,20000,"U Židovského hřbitova, Beroun - Beroun-Město",49.960133,14.045886,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_E/nCTUX1iX5CNPfpSCzGNMY42/6359.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2489795404.jpg,1071.0,1272.7,149.8,1068.5,473.0
sr_2920563532,Pronájem bytu 2+kk 44 m² (Jednopodlažní),11100,"Voříškova, Klatovy - Klatovy III",49.396626,13.28581,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtEBMvIQNmGPRFq5/263e.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2920563532.jpg,706.7,1368.9,146.4,364.5,604.1
sr_4262740812,Pronájem bytu 1+kk 26 m²,14300,"Kalinova, Kladno - Dubí",50.161915,14.138091,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtDrxR2P8QGPRBNp/504c.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4262740812.jpg,2920.5,2825.2,205.6,2469.6,2167.8
sr_3457434444,Pronájem bytu 1+kk 45 m² (Jednopodlažní),17000,"Brno - Brno-Komín, okres Brno-město",49.228603,16.54541,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtEDuRmUDWGPQ5Ws/c1fb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3457434444.jpg,1014.2,847.9,599.1,962.7,944.1
sr_1863598924,Pronájem  pokoje 17 m²,10000,"K Brance, Praha 5 - Stodůlky",50.047924,14.311047,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CFdAHTqxGPQ5BH/00ad.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1863598924.jpg,346.5,193.2,264.6,210.9,134.0
sr_81216332,Pronájem bytu 2+1 71 m²,35470,"Újezd, Praha",50.08218,14.404481,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_E/nCTUX1iX5BWZuTQSsGNlvOt/4e72.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_81216332.jpg,766.3,273.6,56.3,682.3,130.0
sr_2619429708,Pronájem bytu 2+1 92 m² (Jednopodlažní),32447,"Na hutích, Praha",50.099648,14.397502,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/kcHp2YdDtDrxR2CbfGCFH2u/ea47.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2619429708.jpg,330.1,281.2,129.8,38.4,87.8
sr_3742647116,Pronájem  pokoje 16 m²,12000,"Bronzová, Praha 5 - Stodůlky",50.046345,14.330096,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlUUQGPQzRg/1b5d.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3742647116.jpg,427.6,301.2,208.2,281.6,201.8
sr_3996087116,Pronájem bytu 2+kk 45 m²,16580,"Durychova, Hradec Králové - Nový Hradec Králové",50.199627,15.839961,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_D/kBfrbpoeNCsCVHCVSFnUk1V/06f2.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3996087116.jpg,550.2,357.3,256.0,318.1,311.9
sr_751194956,Pronájem bytu 2+kk 42 m²,17000,"Na vartě, Praha 8 - Libeň",50.116707,14.469486,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_C/kcHp2YdDtCJexHERDGEvfkE/d377.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_751194956.jpg,155.4,703.7,92.4,246.2,40.4
sr_3753075532,Pronájem bytu 1+1 43 m²,10900,"Na Větrníku, Chrudim - Chrudim IV",49.95644,15.815493,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/nCTUX1iX5CGpNZNNxGMAgY0/07f1.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3753075532.jpg,2057.6,856.2,115.7,1051.2,1684.5
sr_1017586508,Pronájem bytu 1+kk 21 m² (Jednopodlažní),11000,"Pražská, Brno - Bosonohy",49.17374,16.527571,,sreality,"https://d18-a.sdn.cz/d_18/c_img_of_D/nDJ4VEZEqb3AyCvrFDIPwS/2634.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,1213.9,1684.0,26.1,1890.7,384.7
sr_473301836,Pronájem bytu 2+1 53 m²,8500,"Jelínkova, Sokolov",50.171459,12.666724,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/nPVpfd5QLLDqk1BGKTF3TqGu/ba7d.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_473301836.jpg,3183.1,172.1,244.4,408.3,202.0
sr_3461960524,Pronájem bytu 1+kk 33 m²,11500,"Na Honech I, Zlín",49.236336,17.671646,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kcHp2YdDtzYqGlKF8S1Ss/fe8b.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,814.8,262.9,114.4,321.3,172.4
sr_3571274572,Pronájem bytu 1+1 45 m²,10000,"Na Popluží, Ústí nad Labem - Klíše",50.666969,14.017064,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5CDciVDKvGAo56c/106e.png?fl=res,400,300,3|shr,,20|jpg,90",,248.5,1499.0,84.6,353.5,616.8
sr_196760396,Pronájem bytu 2+1 53 m²,11990,"Čajkovského, Karviná - Mizerov",49.8545,18.56027,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kY1K2LlXQCEs3VGbCF7PO6D/ca32.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,384.5,,209.9,1049.3,287.6
sr_2595976012,Pronájem bytu 3+kk 75 m² (Mezonet),27600,"Oldřichova, Praha 2 - Nusle",50.065598,14.428751,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kY1K2LlXQD1lSJCGgF6kZtU/66a9.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,432.4,133.1,67.5,497.7,46.5
sr_4038267724,Pronájem bytu 2+kk 49 m² (Jednopodlažní),30500,"Nitranská, Praha 3 - Vinohrady",50.075935,14.450171,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/kY1K2LlXQBsPCGDxiF2lbTh/89d4.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,186.0,647.7,62.3,180.5,36.8
sr_3714806604,Pronájem bytu 2+kk 56 m²,22500,"Lublaňská, Praha 2 - Vinohrady",50.071373,14.432291,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_C/kBfrbpoeND2I1YWQFj6xCA/e447.png?fl=res,400,300,3|shr,,20|jpg,90",,168.3,387.8,153.2,273.3,91.6
sr_178090828,Pronájem bytu 1+kk 24 m²,14000,"Jihlavská, Praha 4 - Michle",50.043182,14.460646,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_D/kBfrbpoeNBLdvLC81FpGSBW/4aab.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_178090828.jpg,848.9,237.8,127.1,280.0,114.5
sr_2069459788,Pronájem bytu 3+kk 87 m²,32500,"Odborů, Praha 2 - Nové Město",50.077469,14.418644,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_C/kBfrbpoeNDpoIQBltFmK9gy/b551.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2069459788.jpg,163.4,415.3,61.2,201.3,24.2
sr_608703308,Pronájem bytu 2+1 70 m²,20000,"Šumavská, Karlovy Vary",50.225327,12.855311,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5CoHumCpxGAozmH/b271.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,1394.0,257.8,238.0,763.5,833.5
sr_1607689036,Pronájem bytu 2+kk 33 m²,28000,"Opletalova, Praha 1 - Nové Město",50.085064,14.433236,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/kY1K2LlXQDm6hJDtSF17VJx/ef57.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,177.3,813.9,76.8,236.2,98.4
sr_2688578380,Pronájem bytu 2+kk 44 m²,25999,"Frýdlantská, Praha 8 - Kobylisy",50.131607,14.477457,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_A/nPXMbbUsvqDzGaHF18Fr6hHq/1d78.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2688578380.jpg,207.7,764.8,135.7,505.2,161.9
sr_2953278284,Pronájem  pokoje 12 m²,11000,"Na Žertvách, Praha 8 - Libeň",50.105061,14.477394,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5bIUBTzF7tlrS/8eae.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,808.4,156.9,90.9,302.2,192.2
sr_3123405644,Pronájem bytu 1+kk 22 m²,15500,"Hradešínská, Praha 10 - Vinohrady",50.073963,14.457077,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_B/kY1K2LlXQD1lSJjgFvfQbz/abd5.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,254.9,640.7,219.9,361.9,123.9
sr_3255829324,Pronájem bytu 3+1 137 m²,65000,"Na Viničních horách, Praha 6 - Dejvice",50.103691,14.373922,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_C/kBfrbpoeNCgOJyCffFmLyfm/dc36.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3255829324.jpg,542.7,375.1,82.2,141.1,521.6
sr_4266349388,Pronájem bytu 5+1 254 m²,100000,"Ibsenova, Praha 2 - Vinohrady",50.076206,14.436652,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/kcHp2YdDtEBMvIBn9GAnbcy/db1c.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4266349388.jpg,311.6,442.3,99.9,226.5,70.2
sr_2970895180,Pronájem bytu 2+kk 56 m²,16000,"9. května, Moravany",50.00145,15.945718,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CFdAHTorGPQAK1/6705.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2970895180.jpg,6336.9,332.3,314.7,3346.2,174.1
sr_1868452684,Pronájem bytu 4+kk 68 m²,23000,"Dukelská, Třinec - Lyžbice",49.664852,18.680573,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kcHp2YdDtDgLT069F8929O/c822.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1868452684.jpg,1016.2,256.7,255.2,452.8,128.6
sr_2517910348,Pronájem bytu 2+kk 53 m²,19000,"Vysoká, Plzeň - Litice",49.701782,13.356197,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtBwNESU73GPQS4p/15f4.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2517910348.jpg,2589.0,431.2,171.8,2679.2,1920.7
sr_924074828,Pronájem bytu 1+kk 38 m²,14500,"102. pluku, Benešov",49.777416,14.688708,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtzYqGQLbGPP4TR/d7c4.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_924074828.jpg,,578.6,355.4,345.8,3482.6
sr_2803123020,Pronájem bytu 2+1 85 m²,18500,"Na Belánce, Plzeň - Jižní Předměstí",49.739315,13.372009,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CFdAHTknGPQOzE/513e.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2803123020.jpg,717.6,211.5,122.2,202.0,66.9
sr_2215920460,Pronájem bytu 1+kk 22 m²,12000,"Magistrů, Praha 4 - Michle",50.057922,14.452073,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtDrxR2P71GPPi7M/e897.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2215920460.jpg,823.4,249.9,136.6,433.6,141.6
sr_3558097740,Pronájem bytu 2+1 57 m²,13200,"U Vlečky, Zbůch",49.684521,13.221799,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtCDcb5O1wGPPhkL/8a58.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3558097740.jpg,2711.3,2871.7,223.6,3300.7,3370.4
sr_821232460,Pronájem bytu 3+kk 74 m²,37000,"Slezská, Praha 3 - Vinohrady",50.076168,14.452039,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlUIiGPPcRV/b6b0.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_821232460.jpg,194.8,538.3,162.9,83.6,54.1
sr_529417036,Pronájem bytu 2+1 57 m²,14200,"Čéčova, České Budějovice - České Budějovice 3",48.988941,14.470736,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtzYqGJezGKLyIB/e99d.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_529417036.jpg,642.5,412.2,174.4,486.0,264.0
sr_3843310412,Pronájem bytu 2+kk 60 m² (Jednopodlažní),24500,"Michelská, Praha 4 - Michle",50.053295,14.454318,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlUIiGPPTWp/d63c.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3843310412.jpg,1235.1,688.3,106.7,498.9,130.4
sr_4242621260,Pronájem bytu 2+kk 50 m²,20000,"Blahníkova, Praha 3 - Žižkov",50.085461,14.447801,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CoHumTYiGPPMc6/3105.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4242621260.jpg,112.9,449.7,154.7,177.0,72.9
sr_3018060620,Pronájem bytu 3+1 73 m² (Jednopodlažní),14000,"Slepá, Karlovy Vary - Rybáře",50.234089,12.858356,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtzYqGQLRGPPLRV/a1b6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3018060620.jpg,1255.8,467.1,150.4,512.5,544.6
sr_4194583372,Pronájem bytu 2+1 49 m²,12000,"Dlouhá třída, Havířov - Podlesí",49.776489,18.447657,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtCDcb5O0CGPPJsd/0bd7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4194583372.jpg,382.1,733.3,9.4,101.8,171.7
sr_1055011660,Pronájem bytu 2+kk 46 m²,27000,"Nekázanka, Praha 1 - Nové Město",50.084785,14.42858,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtBwNESU1bGPPIw6/770b.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1055011660.jpg,166.2,787.5,122.4,93.7,46.4
sr_453264204,Pronájem bytu 2+kk 47 m²,15950,"Hořelická, Rudná",50.026505,14.224884,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtCJexHQ4dGPPIJ1/4315.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_453264204.jpg,3177.4,459.2,253.4,927.8,637.3
sr_3722527564,Pronájem bytu 2+1 62 m² (Jednopodlažní),11600,"Vančurova, Hodonín",48.860779,17.136757,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtJj1UOOOGMd5Jd/a22d.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3722527564.jpg,706.3,608.9,127.6,391.0,340.6
