id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,photo_url,photo_path,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
sr_424207180,Pronájem bytu 2+kk 82 m²,38000,"Maiselova, Praha 1 - Josefov",50.088791,14.418346,,sreality,"https://d18-a.sdn.cz/d_18/c_img_od_A/nO0bgvR9rXDb9A7EV7EPbh18/4679.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_424207180.jpg,312.9,579.2,85.4,341.9,44.5
sr_498287436,Pronájem bytu 2+kk 43 m²,18000,"Slovinská, Praha 10 - Vršovice",50.071606,14.459456,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/nCTUX1iX5CoHumMI9GKyPJB/4b0f.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_498287436.jpg,380.4,329.5,113.1,349.2,13.7
sr_659374924,Pronájem bytu 2+kk 55 m² (Loft),39000,"Československého exilu, Praha 4 - Modřany",50.016388,14.403595,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtBM3KVICSGJhSuQ/6e28.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_659374924.jpg,942.1,581.2,34.5,795.5,545.3
sr_786191180,Pronájem bytu 3+kk 100 m²,35000,"Michelská, Praha 4 - Michle",50.053265,14.453113,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtDrxR2P0uGPJaps/fe9c.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_786191180.jpg,1150.6,644.1,95.8,506.2,161.9
sr_923943756,Pronájem bytu 2+kk 57 m²,28000,"Bieblova, Praha 5 - Smíchov",50.06633,14.399523,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtCDcb5ME2GNEFwR/c03a.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_923943756.jpg,613.4,660.5,31.5,280.4,17.3
sr_1270629196,Pronájem bytu 1+kk 45 m²,19000,"Archangelská, Praha 10 - Vršovice",50.068611,14.46493,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtzYqGJjFGKVD2C/5cc6.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1270629196.jpg,136.2,247.2,110.6,317.7,254.7
sr_1600471884,Pronájem bytu 2+kk 51 m²,25000,"Ocelíkova, Praha - Háje",50.028797,14.530893,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtBRc2UBksGORr80/2730.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1600471884.jpg,285.0,983.5,203.4,321.3,112.4
sr_1811039052,Pronájem bytu 2+kk 50 m²,18000,"Slezská, Praha 2 - Vinohrady",50.076172,14.446596,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtBM3KVJ54GLdyjw/6b77.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1811039052.jpg,70.7,712.7,174.8,196.9,134.5
sr_233927500,Pronájem bytu 2+kk 56 m²,17500,"Kollárova, Hradec Králové - Pražské Předměstí",50.214455,15.814055,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_A/kBfrbpoeNBx1gQEHgFrdhum/8578.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_233927500.jpg,963.6,323.0,118.6,115.2,102.3
sr_4009579340,Pronájem bytu 2+kk 65 m²,30000,"Rohanské nábřeží, Praha 8 - Karlín",50.093689,14.446177,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5CDciVDIQGAnfBh/fb60.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,335.7,454.3,92.8,88.5,90.1
sr_2011124556,Pronájem bytu 2+1 52 m² (Jednopodlažní),13000,"Vémyslice, okres Znojmo",49.018635,16.262592,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5Do9kXBPfF80A0n/971f.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2011124556.jpg,5099.2,,1260.2,4145.5,612.3
sr_2336445260,Pronájem bytu 2+1 50 m²,21000,"Púchovská, Praha 4 - Záběhlice",50.048153,14.477721,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/kcHp2YdDtzYqGCFvGBOhU6/93a7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2336445260.jpg,1832.6,700.2,165.6,763.5,219.3
sr_1926112076,Pronájem bytu 2+1 56 m²,14500,"Zborovská, Brno - Žabovřesky",49.213043,16.583559,,sreality,"https://d18-a.sdn.cz/d_18/c_img_of_C/kOdLsFJxntDeHEbjZE8UWI0/c793.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1926112076.jpg,414.5,84.4,18.8,281.6,143.2
sr_562647884,Pronájem bytu 2+kk 53 m²,26000,"Naskové, Praha - Košíře",50.063091,14.361794,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5bIUBW5F7wkIB/4a69.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_562647884.jpg,973.7,568.3,71.5,936.3,301.8
sr_2267640652,Pronájem bytu 2+kk 60 m²,23900,"Velvarská, Horoměřice",50.135242,14.3365,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_C/nPXMbbUsvqCrBESCJVFmLLj1/8ebf.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2267640652.jpg,374.0,1057.5,30.9,370.2,445.2
sr_4180284236,Pronájem bytu 2+1 116 m²,65000,"Bořivojova, Praha 3 - Žižkov",50.082409,14.44672,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_C/nPXMbbUsvqawIk0HFkW2n3/17a6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4180284236.jpg,254.6,207.4,158.5,116.0,78.4
sr_2767717196,Pronájem bytu 3+kk 126 m²,52900,"Balbínova, Praha 2 - Vinohrady",50.079376,14.435602,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kcHp2YdDtEBMvIBAlF9Dnsg/1e10.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2767717196.jpg,78.0,671.7,115.2,207.5,366.5
sr_1006330700,Pronájem bytu 2+1 84 m²,35000,"Dienzenhoferovy sady, Praha 5 - Smíchov",50.075562,14.407887,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/nPVpfd5QLLksKHGsAF3o5IS/4f94.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1006330700.jpg,385.3,470.9,134.0,291.0,210.4
sr_960713548,Pronájem bytu 3+kk 60 m²,28000,"Perucká, Praha 2 - Vinohrady",50.068806,14.437939,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5BWZuTDJPGBOcuq/022f.jpeg?fl=res,400,300,3|shr,,20|jpg,90",,271.5,386.1,169.7,565.6,168.2
sr_2585072460,Pronájem bytu 2+1 50 m² (Jednopodlažní),10500,"Jubilejní, Velké Opatovice",49.614258,16.672867,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_B/kOzkBkwYBTqAqfO8DFfuTaF/006b.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2585072460.jpg,276.2,194.3,381.9,570.2,51.8
sr_1180894028,Pronájem bytu 2+1 104 m² (Jednopodlažní),14000,"Sokolská, Boskovice",49.492012,16.657494,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p7_B/kOzkBkwYBTCNNSBNcFFejIfy/e5bb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1180894028.jpg,487.8,757.6,41.6,307.3,170.8
sr_1506112332,Pronájem bytu 1+kk 20 m²,7500,"Palackého nám., Jevíčko",49.633091,16.711189,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_A/nPXMbbUsvqCrBESHuiFudgke/5aec.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1506112332.jpg,268.3,2554.9,63.4,53.7,9.6
sr_36074316,Pronájem bytu 2+kk 50 m²,18700,"V Roháči I., Jesenice",49.971394,14.503082,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_A/nPXMbbUsvqChCvUJFCFtoRKk/96a3.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_36074316.jpg,811.2,13.7,290.0,851.5,329.8
sr_663819084,Pronájem bytu 1+1 36 m²,10500,"Trnkova, Olomouc - Nové Sady",49.579201,17.254522,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/nCTUX1iX5Do9kXDRFGBOWcW/0885.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_663819084.jpg,363.6,265.8,198.7,235.8,240.4
sr_1211589452,Pronájem bytu 3+kk 64 m² (Jednopodlažní),29000,"Fabiánové, Praha 5 - Hlubočepy",50.031734,14.36423,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_D/nPVpfd5QLLBPLz5H8SF5YcbP/94ed.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1211589452.jpg,464.0,1184.7,210.1,765.9,99.1
sr_3728954188,Pronájem bytu 2+1 50 m²,13900,"Veveří, Brno",49.204456,16.595394,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_B/kcHp2YdDtDrxR2B5YGBOVdF/028d.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3728954188.jpg,291.9,394.1,3.6,142.3,53.2
sr_185140044,Pronájem bytu 2+kk 33 m²,16000,"Olštýnská, Praha 8 - Troja",50.12767,14.420038,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_A/kBfrbpoeNBx1gQEogFskvju/0e66.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_185140044.jpg,650.9,928.1,195.9,98.6,65.6
sr_58028876,Pronájem bytu 2+kk 54 m² (Jednopodlažní),17500,"Důlní, Ostrava - Moravská Ostrava",49.830162,18.288004,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_A/nPXMbbUsvqCrBESHlYFuVQT9/b496.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_58028876.jpg,712.3,279.0,143.1,190.2,83.6
sr_2463871052,Pronájem bytu 3+1 74 m²,24900,"Ravennská, Praha 10 - Horní Měcholupy",50.04546,14.559272,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtBwNESazjGRRvzO/fce2.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2463871052.jpg,527.2,104.5,106.5,534.4,410.5
sr_64729164,Pronájem bytu 1+1 27 m²,15000,"Jánošíkova, Praha 4 - Krč",50.021774,14.458208,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtDrxR2UidGRRsnK/2bff.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_64729164.jpg,1824.8,540.4,249.2,276.3,682.5
sr_2749083724,Pronájem bytu 2+1 44 m²,12000,"Horní, Ostrava - Hrabůvka",49.786865,18.255009,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CFdAHZzfGRRqQT/4e4b.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2749083724.jpg,208.4,492.4,75.3,173.0,180.2
sr_3544863564,Pronájem bytu 1+kk 49 m²,13490,"Spolková, Brno - Zábrdovice",49.201508,16.623514,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlZwXGRPHt2/a3f7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3544863564.jpg,203.4,189.7,236.7,192.6,110.7
sr_3285954636,Pronájem bytu 2+1 48 m² (Jednopodlažní),10700,"Tylova, Louny",50.35569,13.810219,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtEDuRmZfcGRRoy3/ad54.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3285954636.jpg,2466.1,390.6,149.2,499.2,315.0
sr_328549196,Pronájem bytu 2+kk 40 m²,14200,"Hostislavova, Brno - Žebětín",49.214901,16.493807,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CoHumSbxGOzV12/772b.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_328549196.jpg,523.3,116.9,21.8,941.8,422.7
sr_887690060,Pronájem bytu 3+kk 102 m²,42000,"Žitná, Praha 2 - Nové Město",50.077187,14.427634,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5CDciVBgpF9DKmS/b9cd.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_887690060.jpg,209.3,170.9,113.3,284.7,77.6
sr_3277538124,Pronájem bytu 4+kk 166 m²,80000,"Kobrova, Praha 5 - Smíchov",50.073814,14.396772,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWZuTRN2GOPLYm/ca61.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3277538124.jpg,445.1,279.1,84.0,359.9,187.8
sr_3335213900,Pronájem bytu 1+kk 30 m² (Jednopodlažní),21000,"Tetauerova, Praha 3 - Žižkov",50.087029,14.471018,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlR9NGOjlmI/be56.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3335213900.jpg,817.1,250.3,31.9,328.6,113.1
sr_2115908428,Pronájem bytu 3+1 73 m²,39000,"Hroznová, Praha 1 - Malá Strana",50.086315,14.40806,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5DwDWzBhFF9DVy9/1fea.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2115908428.jpg,407.6,351.4,283.6,493.8,146.8
sr_2653033292,Pronájem bytu 1+kk 34 m²,15500,"Strašínská, Praha 10 - Strašnice",50.067982,14.500714,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtCJexHPGMGOMFv0/0fe7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2653033292.jpg,160.3,117.3,293.5,166.9,103.7
sr_508851020,Pronájem bytu 1+1 39 m²,22000,"Zlatnická, Praha 1 - Nové Město",50.090153,14.432166,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/nPVpfd5QLLbHLYGiQF3o0yp/733a.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_508851020.jpg,242.4,517.1,119.0,160.6,13.8
