id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
4270015308,Pronájem bytu 3+kk 85 m² (Mezonet),35000,"Čakovická, Praha - Praha 9",50.118641,14.513169,,sreality,936.8,832.1,211.1,895.1,584.0
3516691276,Pronájem bytu 5+kk 129 m² (Mezonet),148000,"Komunardů, Praha 7 - Holešovice",50.103226,14.44998,,sreality,626.6,206.2,54.6,85.9,24.8
2754499148,Pronájem bytu 3+kk 80 m²,39900,"Václavské náměstí, Praha 1 - Nové Město",50.080235,14.42968,,sreality,283.4,528.0,75.8,84.4,124.6
345330508,Pronájem bytu 2+kk 43 m²,15500,"Lessnerova, Praha 10 - Petrovice",50.039814,14.559577,,sreality,196.9,217.2,41.9,113.1,95.4
1928282956,Pronájem bytu 3+kk 116 m²,31900,"Na Fialce, Říčany",49.995995,14.663064,,sreality,382.7,120.4,87.2,341.1,411.2
1537233740,Pronájem bytu 1+kk 44 m²,17500,"K dálnici, Praha 10 - Pitkovice",50.021317,14.587619,,sreality,1508.4,1865.1,411.9,1348.4,1018.6
2057327436,Pronájem bytu 1+kk 32 m²,16500,"Za Lípou, Praha 10 - Uhříněves",50.02869,14.602487,,sreality,172.0,524.5,110.1,433.8,117.0
4207956812,Pronájem bytu 1+kk 35 m²,15900,"Hornoměcholupská, Praha 10 - Horní Měcholupy",50.048908,14.542502,,sreality,1329.9,361.0,134.3,201.4,192.4
3334501196,Pronájem bytu 2+kk 56 m²,23000,"Velenovského, Praha 10 - Záběhlice",50.053226,14.512899,,sreality,634.8,370.9,163.4,331.9,326.0
3463144268,Pronájem bytu 2+kk 43 m²,18700,"Jablonecká, Praha 9 - Střížkov",50.123234,14.495726,,sreality,286.0,379.7,165.9,249.3,92.8
4093535052,Pronájem bytu 3+1 72 m²,28900,"Ovčárská, Praha 10 - Malešice",50.081703,14.507222,,sreality,486.4,285.1,118.7,449.3,186.5
158495564,Pronájem bytu 2+kk 53 m²,25500,"Fafkových, Praha 9 - Vysočany",50.109642,14.514264,,sreality,510.4,287.1,94.4,955.6,93.0
953905996,Pronájem bytu 2+kk 55 m²,20900,"Františka Diviše, Praha 10 - Uhříněves",50.035309,14.581628,,sreality,956.9,1602.7,171.9,1255.3,784.1
3898671948,Pronájem bytu 2+kk 53 m²,20500,"K Netlukám, Praha 10 - Uhříněves",50.038673,14.611963,,sreality,1129.1,602.5,255.0,1278.0,844.3
1283670860,Pronájem bytu 1+1 31 m² (Jednopodlažní),16000,"Dubová, Brno - Jundrov",49.212811,16.550381,,sreality,1083.2,176.5,104.6,653.6,554.3
2120700748,Pronájem bytu 1+1 36 m²,10900,"Hranice - Hranice I-Město, okres Přerov",49.547966,17.734694,,sreality,211.1,,74.4,75.0,88.3
1032012620,Pronájem bytu 1+kk 22 m²,10000,"Vrážská, Praha 5 - Radotín",49.988689,14.36845,,sreality,2355.9,1750.0,56.9,505.4,509.8
226706252,Pronájem bytu 2+kk 46 m²,20000,"Habrová, Praha - Žižkov",50.088657,14.494246,,sreality,454.8,259.9,216.4,455.2,390.9
1870615372,Pronájem bytu 2+kk 55 m²,19000,"Lomená, Zbuzany",50.026001,14.282925,,sreality,1141.9,1340.2,58.2,1216.2,603.8
2479571788,Pronájem bytu 1+kk 36 m²,10000,"U Pondu, Heřmanova Huť - Vlkýš",49.714481,13.089204,,sreality,,2263.5,248.4,,
3447931724,Pronájem bytu 1+kk 45 m²,11500,"Hrobice, okres Zlín",49.277466,17.788008,,sreality,1918.3,2627.5,137.5,3213.7,1926.9
310592332,Pronájem bytu 4+kk 123 m² (Jednopodlažní),40000,"Klausova, Praha 5 - Stodůlky",50.0355,14.342851,,sreality,716.7,241.8,484.8,50.2,205.8
1652769612,Pronájem bytu 2+1 49 m²,15000,"Přátelství, Cheb",50.073311,12.355053,,sreality,994.1,843.2,111.2,668.4,175.6
2151567948,Pronájem bytu 3+kk 98 m²,47900,"Václavské náměstí, Praha 1 - Nové Město",50.080235,14.42968,,sreality,283.4,528.0,75.8,84.4,124.6
2379891532,Pronájem bytu 1+kk 26 m² (Jednopodlažní),15000,"Svitavská, Brno - Husovice",49.207775,16.628183,,sreality,94.4,387.7,87.3,188.5,119.6
1637024588,Pronájem bytu 1+kk 25 m²,15000,"Na Královce, Praha 10 - Vršovice",50.069847,14.449124,,sreality,259.3,758.0,224.2,319.5,185.6
1923027532,Pronájem bytu 3+1 97 m²,50000,"Rašínovo nábřeží, Praha 2",50.069775,14.414648,,sreality,134.5,484.4,191.7,341.1,92.8
4036846412,Pronájem bytu 3+kk 74 m² (Jednopodlažní),26000,"Holečkova, Praha 5 - Smíchov",50.073959,14.394572,,sreality,394.1,423.6,46.0,439.2,135.4
1732596556,Pronájem bytu 2+1 68 m²,25000,"Kouřimská, Praha 3 - Vinohrady",50.077423,14.470357,,sreality,244.5,473.5,107.9,78.2,162.7
642147148,Pronájem bytu 2+1 60 m²,26000,"Veletržní, Praha 7 - Holešovice",50.102238,14.434713,,sreality,1165.9,981.2,137.1,197.7,33.2
1838941004,Pronájem bytu 2+kk 43 m²,18500,"Brusnicová, Květnice",50.057957,14.676107,,sreality,946.8,466.8,351.0,1448.6,495.5
1112544076,Pronájem bytu 3+kk 126 m²,45000,"Odborů, Praha 2 - Nové Město",50.077522,14.418634,,sreality,157.5,413.4,55.3,204.4,18.5
3531547212,Pronájem bytu 3+kk 127 m²,63557,"Truhlářská, Praha 1 - Nové Město",50.08984,14.428707,,sreality,100.8,310.7,39.3,38.4,36.3
840827724,Pronájem bytu 3+1 96 m² (Mezonet),44000,"Odborů, Praha 2 - Nové Město",50.077534,14.418846,,sreality,160.3,428.0,51.0,191.5,20.5
1132675916,Pronájem bytu 1+kk 24 m²,7000,"U Hřiště, Žatec",50.326771,13.533927,,sreality,954.0,475.3,65.5,472.7,769.2
2299548492,Pronájem bytu 3+kk 71 m²,29900,"Řeznická, Praha 1 - Nové Město",50.077965,14.423656,,sreality,143.9,251.0,185.8,220.4,38.4
490033996,Pronájem bytu 2+kk 51 m²,21500,"Křížová, Praha 5 - Smíchov",50.061813,14.405348,,sreality,737.3,825.4,62.0,87.7,27.3
3568792396,Pronájem bytu 3+1 129 m²,90000,"Masarykovo nábřeží, Praha 1 - Nové Město",50.07827,14.414387,,sreality,90.0,101.9,178.9,387.1,6.9
3905430092,Pronájem bytu 3+kk 127 m²,63557,"Truhlářská, Praha 1 - Nové Město",50.08984,14.428706,,sreality,100.8,310.7,39.3,38.3,36.2
951997260,Pronájem bytu 1+kk 35 m²,15000,"Poupětova, Praha 7 - Holešovice",50.106716,14.448312,,sreality,239.0,547.3,107.1,239.0,94.1
1124422476,Pronájem bytu 4+kk 111 m²,35000,"Sazovická, Praha 5 - Zličín",50.057873,14.283536,,sreality,1981.2,429.8,225.6,556.9,73.6
